I	J	K	  Dose  	 Tot.LETd 	 e- dose 	 e- LETd 	 p dose 	 p LETd 	 He dose 	 He LETd 	 Li dose 	 Li LETd 	 Be dose 	 Be LETd 	 B dose 	 B LETd 	 C dose 	 C LETd 	 N dose 	 N LETd 	 O dose 	 O LETd 	
0	0	65	5.295128e-04	1.445231e+01	4.595453e-02	4.634592e-01	5.293864e-02	3.633340e+00	4.499633e-02	5.246847e+01	1.002798e-02	7.097146e+01	9.253123e-03	5.545090e+01	2.327534e-02	2.025403e+01	8.120141e-01	1.188005e+01	8.403164e-04	4.386703e+02	1.366141e-04	1.180856e+03	
0	0	66	5.288669e-04	1.438384e+01	4.586041e-02	4.628149e-01	5.323439e-02	3.658034e+00	4.546702e-02	5.337944e+01	1.016908e-02	7.009532e+01	9.341631e-03	5.005066e+01	2.354435e-02	1.953899e+01	8.108249e-01	1.182697e+01	8.495957e-04	4.151517e+02	1.405722e-04	1.119803e+03	
0	0	67	5.281308e-04	1.453354e+01	4.570199e-02	4.633349e-01	5.360448e-02	3.658269e+00	4.591412e-02	5.218018e+01	1.018999e-02	6.948157e+01	9.464832e-03	5.252070e+01	2.383267e-02	2.138779e+01	8.097058e-01	1.184018e+01	8.730465e-04	4.953100e+02	1.440328e-04	1.286794e+03	
0	0	68	5.275460e-04	1.449224e+01	4.561951e-02	4.614342e-01	5.398402e-02	3.578774e+00	4.642240e-02	5.225066e+01	1.031429e-02	6.758617e+01	9.586558e-03	5.460055e+01	2.411188e-02	2.072437e+01	8.083646e-01	1.182893e+01	8.767422e-04	4.515569e+02	1.504854e-04	1.127639e+03	
0	0	69	5.269028e-04	1.445448e+01	4.543705e-02	4.642483e-01	5.429031e-02	3.576420e+00	4.695073e-02	5.231296e+01	1.053036e-02	7.138036e+01	9.649381e-03	4.664020e+01	2.443854e-02	2.193930e+01	8.071235e-01	1.179563e+01	8.751421e-04	4.188679e+02	1.425713e-04	1.006576e+03	
0	0	70	5.261303e-04	1.464022e+01	4.534881e-02	4.670242e-01	5.452412e-02	3.570065e+00	4.727778e-02	5.053698e+01	1.057628e-02	7.003459e+01	9.810765e-03	5.486228e+01	2.475143e-02	2.065167e+01	8.061048e-01	1.198884e+01	8.912180e-04	4.344841e+02	1.473181e-04	1.286767e+03	
0	0	71	5.255148e-04	1.473479e+01	4.523520e-02	4.645957e-01	5.494238e-02	3.574871e+00	4.774195e-02	5.107803e+01	1.064853e-02	6.837966e+01	9.884176e-03	4.557986e+01	2.504257e-02	2.182735e+01	8.048698e-01	1.204076e+01	9.136997e-04	5.124193e+02	1.470526e-04	1.279825e+03	
0	0	72	5.248005e-04	1.457029e+01	4.521155e-02	4.644534e-01	5.522564e-02	3.527388e+00	4.815108e-02	5.070348e+01	1.070087e-02	6.452363e+01	1.001549e-02	5.119266e+01	2.533604e-02	2.103496e+01	8.037103e-01	1.189483e+01	9.272261e-04	4.627331e+02	1.514169e-04	1.233564e+03	
0	0	73	5.241696e-04	1.451624e+01	4.507060e-02	4.663938e-01	5.548938e-02	3.589010e+00	4.880186e-02	5.099197e+01	1.073385e-02	5.994596e+01	1.011648e-02	4.565086e+01	2.559374e-02	1.821494e+01	8.025460e-01	1.196849e+01	9.384443e-04	5.011481e+02	1.480272e-04	9.721436e+02	
0	0	74	5.233483e-04	1.446636e+01	4.495861e-02	4.643114e-01	5.579304e-02	3.608026e+00	4.884151e-02	4.798589e+01	1.087834e-02	6.286016e+01	1.025133e-02	5.233281e+01	2.587723e-02	1.772500e+01	8.017213e-01	1.190057e+01	9.636447e-04	5.275618e+02	1.594626e-04	1.065470e+03	
